# Localitățile Republicii Moldova cu raionul și coordonatele (Wikidata, 20.09.2026). name|district|lat|lon
Balasinești|Briceni|48.24389|26.96056
Beleavinți|Briceni|48.29222|26.93889
Berlinți|Briceni|48.31194|26.93583
Bezeda|Briceni|48.16083|27.00111
Bocicăuți|Briceni|48.29222|27.17472
Bogdănești|Briceni|48.14028|27.00194
Briceni|Briceni|48.36278|27.08500
Bulboaca|Briceni|48.37167|27.19833
Bălcăuți|Briceni|48.28333|27.20222
Caracușenii Noi|Briceni|48.32528|27.02417
Caracușenii Vechi|Briceni|48.27000|27.07583
Chirilovca|Briceni|48.25861|27.15556
Colicăuți|Briceni|48.30889|27.15389
Corjeuți|Briceni|48.21667|27.05000
Coteala|Briceni|48.33083|26.86194
Cotiujeni|Briceni|48.34444|26.93806
Criva|Briceni|48.27111|26.67222
Drepcăuți|Briceni|48.27167|26.72417
Grimești|Briceni|48.13306|26.97444
Grimăncăuți|Briceni|48.38944|27.08972
Groznița|Briceni|48.26000|27.23722
Halahora de Jos|Briceni|48.23139|27.16972
Halahora de Sus|Briceni|48.25861|27.17833
Hlina|Briceni|48.29111|26.87806
Larga|Briceni|48.37222|26.84333
Lipcani|Briceni|48.26528|26.80389
Medveja|Briceni|48.36194|26.78639
Mihăileni|Briceni|48.24722|27.25083
Mărcăuți|Briceni|48.31389|27.22611
Mărcăuții Noi|Briceni|48.29750|27.22806
Pavlovca|Briceni|48.37972|26.87639
Pererîta|Briceni|48.20722|26.91583
Slobozia-Medveja|Briceni|48.38056|26.75250
Slobozia-Șirăuți|Briceni|48.24250|26.87250
Tabani|Briceni|48.31222|27.09750
Tețcani|Briceni|48.18167|26.97556
Trebisăuți|Briceni|48.35583|27.19083
Trestieni|Briceni|48.26972|27.13222
Șirăuți|Briceni|48.23722|26.84250
Arionești|Dondușeni|48.37528|27.84306
Baraboi|Dondușeni|48.08583|27.61750
Boroseni|Dondușeni||
Braicău|Dondușeni|48.30389|27.73167
Briceni|Dondușeni|48.35722|27.70361
Briceva|Dondușeni|48.11472|27.64861
Caraiman|Dondușeni|48.10667|27.56139
Cernoleuca|Dondușeni|48.31333|27.55444
Climăuți|Dondușeni|48.31083|27.60750
Codrenii Noi|Dondușeni|48.14333|27.57278
Corbu|Dondușeni|48.26722|27.57250
Crișcăuți|Dondușeni|48.26639|27.85417
Dondușeni|Dondușeni|48.22444|27.58528
Elenovca|Dondușeni|48.12472|27.62611
Elizavetovca|Dondușeni|48.28083|27.70861
Frasin|Dondușeni|48.13833|27.54444
Horodiște|Dondușeni|48.26500|27.78917
Moșana|Dondușeni|48.32333|27.68917
Octeabriscoe|Dondușeni|48.33972|27.66833
