data,R1,R2,R3,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,TOTAL_ZI
,Grimăncăuți - Chișinău (03:00 - 7:10),Briceni - Chișinău (05:45 - 8:20),Chișinău (08:00 - 12:40),Șirăuți - Chișinău (10:10 - 15:10),Corjeuți - Chișinău (6:17 - 10:20),Criva - Chișinău (11:00 - 15:35),Criva - Chișinău (12:30 - 17:40),Criva - Chișinău (12:00 - 16:45),Lipcani - Chișinău (14:10 - 19:05),Criva - Chișinău (13:20 - 17:40),Lipcani - Chișinău (14:50 - 18:55),Lipcani (Rîșcani) - Chișinău (15:00 - 19:55),Criva - Chișinău (15:30 - 20:20),Criva - Chișinău (17:30 - 22:25),Lipcani - Chișinău (02:35 - 7:00),Criva (Tețcani) - Chișinău (02:40 - 8:20),Lipcani (Viișoara) - Chișinău (04:05 - 8:10),Lipcani - Chișinău (06:10 - 10:40),Criva (Larga) - Chișinău (06:00 - 11:35),Chișinău (12:35 - 17:40),Lipcani - Chișinău (06:35 - 10:50),Criva - Chișinău (07:05 - 12:20),Criva (Larga) - Chișinău (07:25 - 12:45),Caracusenii Vechi - Chișinău (07:00 - 10:45),Corjeuți (Briceni) - Chișinău (08:00 - 17:15),Lipcani - Chișinău (09:15 - 13:45),Criva - Chișinău (09:35 - 15:10),Ocnița - Chișinău (09:50 - 13:50),
2026-04-01,98,21,31,-1,-8,102,70,94,133,91,0,0,110,154,169,140,13,184,193,20,263,357,139,73,107,149,211,105,3018
2026-04-02,160,21,40,3,-9,94,57,200,146,109,104,0,147,234,154,190,15,241,214,40,299,440,208,63,324,247,228,31,4000
2026-04-03,62,-22,-20,-62,-70,99,51,169,152,65,18,0,180,178,75,126,-70,169,332,-54,323,0,215,-26,87,85,159,34,2255
2026-04-04,39,40,36,-14,-49,29,78,32,79,85,92,0,0,160,0,77,8,73,222,-21,349,268,96,53,80,135,69,28,2044
2026-04-05,76,32,26,-72,-9,-15,141,41,12,109,89,0,204,202,122,0,18,287,223,-60,162,412,226,108,110,64,153,-101,2560
2026-04-06,148,52,20,-36,-47,104,81,-10,91,-7,44,0,74,124,61,199,-33,60,196,-54,298,207,107,-19,70,53,-33,54,1804
2026-04-07,114,55,21,-61,-141,145,39,111,68,136,70,0,90,126,74,106,-18,-13,155,-46,232,102,65,79,151,128,61,-50,1799
2026-04-08,112,43,-31,-90,-121,102,96,12,110,114,0,0,118,236,132,246,-24,91,157,-10,115,85,-5,-43,179,126,76,-22,1804
2026-04-09,336,201,182,169,153,531,212,318,264,195,150,0,436,415,264,485,240,502,645,162,524,527,382,250,522,353,453,210,9081
2026-04-10,231,27,47,-131,-24,226,185,159,293,134,27,118,185,193,149,235,-37,167,324,33,253,190,168,120,160,105,299,78,3914
2026-04-11,40,44,2,-43,-19,199,95,62,260,109,192,0,286,186,126,53,-3,142,235,-3,141,230,118,-21,113,141,159,-45,2799
2026-04-12,0,0,0,-56,0,0,0,0,0,0,0,0,116,0,54,0,0,16,49,-21,0,146,53,0,0,0,28,16,401
2026-04-13,39,0,28,-54,11,280,86,164,169,183,0,0,269,159,176,0,26,118,215,36,238,207,21,35,19,33,222,150,2830
2026-04-14,122,33,34,-25,-39,75,0,173,122,51,82,0,86,180,266,192,-4,259,280,44,206,275,125,17,295,118,309,-70,3206
2026-04-15,125,26,28,-73,-64,63,0,185,134,166,81,0,316,72,112,179,-29,64,306,-5,163,419,84,-6,11,4,174,-37,2498
2026-04-16,687,418,236,440,333,666,187,578,427,678,503,0,659,515,439,473,497,812,875,375,980,983,694,320,779,646,887,463,15550
2026-04-17,106,27,10,-102,-70,377,117,114,42,65,38,0,243,234,80,200,-11,151,225,-21,357,399,120,64,153,158,268,-20,3324
2026-04-18,130,38,-18,-54,-54,153,94,212,86,33,74,0,223,124,107,56,-25,194,297,-22,13,369,201,11,47,42,310,-26,2615
2026-04-19,0,0,12,-65,-98,88,177,0,228,0,0,0,300,160,134,0,-37,89,130,-1,122,194,26,28,178,0,215,-44,1836
2026-04-20,-31,-9,-7,-21,5,151,249,104,191,31,309,322,290,206,96,113,3,39,334,-14,159,206,129,101,180,259,213,93,3701
2026-04-21,139,60,19,-64,-55,197,125,55,112,59,156,0,246,156,287,296,-15,172,380,-14,288,245,-57,54,77,187,134,-26,3213
2026-04-22,208,27,46,-125,-87,100,-8,175,17,72,95,0,105,153,138,120,-3,102,191,-86,185,208,124,9,121,82,139,29,2137
2026-04-23,-53,55,45,-88,-102,131,76,122,62,151,-34,0,-33,183,171,37,-73,184,243,6,222,252,22,20,199,18,154,-80,1890
2026-04-24,148,34,53,-1,-7,186,73,69,110,159,0,0,230,210,75,206,7,261,338,44,494,350,137,83,195,177,227,83,3941
2026-04-25,88,34,53,-9,-3,94,111,83,73,143,0,0,195,77,112,63,16,285,125,23,300,236,68,41,94,106,129,66,2603
2026-04-26,45,15,5,-4,-11,266,121,94,155,147,190,0,200,206,76,0,15,224,176,70,180,395,269,114,164,228,370,147,3857
2026-04-27,168,46,43,-6,-9,67,109,60,127,216,48,0,237,132,256,8,28,227,268,4,326,405,177,61,125,179,213,91,3606
2026-04-28,74,34,41,-8,0,162,34,149,76,0,67,0,215,197,275,215,25,258,167,6,312,376,275,57,207,253,318,7,3792
2026-04-29,174,56,81,-11,-12,110,66,128,92,60,58,0,192,81,97,96,13,278,425,-1,337,352,147,50,155,162,289,42,3517
2026-04-30,201,31,59,-14,-10,252,259,98,104,134,174,0,237,351,163,264,5,231,407,49,392,446,76,112,342,128,387,50,4928
TOTAL,3786,1439,1122,-678,-616,5034,2981,3751,3935,3488,2627,440,6156,5604,4440,4375,547,5867,8327,479,8233,9281,4410,1808,5244,4366,6821,1256,104523
