data,R1,R2,R3,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,TOTAL_ZI
,Grimăncăuți - Chișinău (03:00 - 7:10),Briceni - Chișinău (05:45 - 8:20),Chișinău (08:00 - 12:40),Șirăuți - Chișinău (10:10 - 15:10),Corjeuți - Chișinău (6:17 - 10:20),Criva - Chișinău (11:00 - 15:35),Criva - Chișinău (12:30 - 17:40),Criva - Chișinău (12:00 - 16:45),Lipcani - Chișinău (14:10 - 19:05),Criva - Chișinău (13:20 - 17:40),Lipcani - Chișinău (14:50 - 18:55),Lipcani (Rîșcani) - Chișinău (15:00 - 19:55),Criva - Chișinău (15:30 - 20:20),Criva - Chișinău (17:30 - 22:25),Lipcani - Chișinău (02:35 - 7:00),Criva (Tețcani) - Chișinău (02:40 - 8:20),Lipcani (Viișoara) - Chișinău (04:05 - 8:10),Lipcani - Chișinău (06:10 - 10:40),Criva (Larga) - Chișinău (06:00 - 11:35),Chișinău (12:35 - 17:40),Lipcani - Chișinău (06:35 - 10:50),Criva - Chișinău (07:05 - 12:20),Criva (Larga) - Chișinău (07:25 - 12:45),Caracusenii Vechi - Chișinău (07:00 - 10:45),Corjeuți (Briceni) - Chișinău (08:00 - 17:15),Lipcani - Chișinău (09:15 - 13:45),Criva - Chișinău (09:35 - 15:10),Ocnița - Chișinău (09:50 - 13:50),
2026-04-01,6324,3579,1072,3980,4441,5392,3739,3176,3943,3567,0,0,5273,3708,4050,4189,6281,6332,6535,3073,6028,7130,5051,5050,3021,5483,5994,4146,120557
2026-04-02,8082,2498,3714,4310,5187,5354,3527,2805,4021,3619,1803,0,5500,5006,3217,5136,6716,6174,6820,3831,7143,5765,4355,4337,6767,4520,5850,1126,127183
2026-04-03,6397,5369,5299,5566,5870,7104,4272,7425,5559,3813,3716,0,4897,5039,5034,6408,8101,8910,9154,5413,9097,0,6383,6026,6124,6612,7637,6645,161870
2026-04-04,4295,6188,4628,5121,4828,3653,4569,2011,4605,4695,3380,0,0,3753,0,5422,5703,6577,7292,2611,7897,6454,5168,4026,6454,4810,2211,6041,122392
2026-04-05,4090,2925,3483,7063,5961,5602,5950,5473,2224,4668,5840,0,7667,7156,3682,0,5579,6667,6722,5148,5557,6478,6111,4792,5370,5523,5952,6322,142005
2026-04-06,8788,7119,3990,5117,6210,5579,2929,3518,3776,2911,4928,0,5329,3946,6184,6102,5658,6618,9276,4118,7779,4876,6000,5116,4830,5353,3810,4265,144125
2026-04-07,6948,6274,4684,4491,5074,8340,4016,5219,3735,4723,3286,0,4778,4066,3487,5598,1360,8171,7538,4216,6472,5621,6146,5247,5935,7121,4589,3200,140335
2026-04-08,7073,6027,2639,3932,5319,5988,5362,2825,3947,4012,0,0,7417,5044,3739,7293,5086,7204,6846,1981,6146,4334,4843,3194,6201,5912,5337,3480,131181
2026-04-09,6694,5253,4758,5431,5076,7606,3772,5930,5264,3394,3387,0,6851,4939,3543,7431,6565,7401,8553,4949,7842,7831,6272,5097,6939,5729,6304,5686,158497
2026-04-10,7921,5937,5582,7017,7060,8974,7573,7368,8933,6420,3429,5328,6515,8385,5881,8342,9550,8480,8906,6452,7338,8792,6905,6319,8525,7816,8249,7448,205445
2026-04-11,4633,6326,5593,5186,5848,7442,5035,4591,7893,7299,4911,0,6430,8395,6123,5657,6336,7352,7619,5294,7846,8906,6968,6557,5112,7216,7328,6128,174024
2026-04-12,0,0,0,3791,0,0,0,0,0,0,0,0,10069,0,4373,0,0,5239,5389,3537,0,6976,5258,0,0,0,5004,5359,54995
2026-04-13,4183,6364,4620,6060,5483,6580,5781,5037,7464,8609,0,0,8941,7825,5068,0,4473,6038,8496,5491,6972,7257,5689,5212,4415,4988,8129,7035,156210
2026-04-14,7925,6624,5503,5614,7530,5950,0,5786,8593,6265,5203,0,7414,6773,5632,7246,8968,9216,10166,7311,8033,9171,7054,5979,8184,6567,9270,6952,188929
2026-04-15,6365,4415,5300,5074,5268,7024,0,6395,3484,5695,5270,0,5850,6713,3770,5892,5442,5837,8417,5398,7804,8854,7240,4296,6742,4997,8734,5966,156242
2026-04-16,8422,6112,3246,7227,5540,8240,2524,5646,4732,6549,3970,0,7506,5374,4510,5527,7789,9427,8970,5571,8986,8200,7017,4397,7962,7087,9068,6407,176006
2026-04-17,7517,5099,5693,7209,5921,9053,6470,7304,4442,4960,4817,0,6995,6078,4354,6021,7765,9309,8341,6202,8825,9183,7137,6457,7694,7527,8776,8635,187784
2026-04-18,6378,4780,4687,5626,5955,7455,6173,6331,7459,4075,5234,0,6845,7410,4816,3923,6430,9772,7750,6259,5753,9644,5529,4811,4801,6238,9353,7247,170734
2026-04-19,0,0,4994,5568,4677,5397,5899,0,10859,0,0,0,8843,7507,6473,0,6160,5266,5416,7341,4537,5797,5791,5496,5908,0,7429,4603,123961
2026-04-20,2762,2652,4624,6474,5493,7278,6596,5044,8314,4182,9549,4911,8410,5772,3887,3175,7383,6336,9261,5045,8144,6001,5703,5533,6192,6611,7969,6788,170089
2026-04-21,9879,7189,6282,6459,6791,6161,6253,4341,7061,6317,6870,0,7555,4806,6811,8130,8782,9766,9867,5870,9296,7317,7327,7378,6883,6501,7380,5611,192883
2026-04-22,8920,3484,5709,6164,4612,7384,3475,5821,4831,4085,4819,0,5033,3708,3540,4491,7540,6121,8674,5716,7226,7507,6232,5097,7617,5171,7470,6747,157194
2026-04-23,5893,5485,4269,4316,6704,6403,4219,4164,4504,4324,2570,0,5118,4353,5036,6114,8020,7497,8541,5854,6570,6303,4132,4351,4948,5485,6476,4145,145794
2026-04-24,7178,5083,4452,7009,6972,8172,6035,5515,5383,4742,0,0,6927,4834,1749,6250,4425,9147,8919,6310,8010,8755,5288,7106,7067,6126,7327,7052,165833
2026-04-25,5761,3734,4452,5953,3797,5508,4736,2707,4740,5820,0,0,5525,4986,4377,3816,4680,6893,6290,2199,6035,4533,3070,3935,4911,6242,4650,4998,124348
2026-04-26,4067,2067,2302,7424,4243,5959,4911,4860,8146,5599,4871,0,6306,5499,2775,0,5723,6736,5295,5665,4581,6278,6363,4662,5836,5915,9322,5128,140533
2026-04-27,8080,5848,2950,4283,4400,4399,3125,3182,5104,6310,4827,0,4364,5180,6800,140,8577,8015,8149,3907,8141,6428,5875,5362,6349,5956,5715,5083,146549
2026-04-28,7947,4240,2637,5992,6060,5359,2842,3531,3866,0,2951,0,5268,4822,5777,6151,7380,5896,5424,4784,4743,5447,5554,4727,5003,5862,6540,4757,133560
2026-04-29,7788,5475,3519,3765,5444,5134,4157,4370,3043,3201,2234,0,3824,3733,2358,4383,6215,7690,9131,4279,7182,5713,5536,3977,5404,6024,7724,3593,134896
2026-04-30,8962,5944,5114,7207,6747,9142,6355,5105,4973,5463,4697,0,6105,5193,3916,6969,8194,8087,8560,6881,8517,9321,6074,6571,6725,7523,8918,7592,184855
TOTAL,189272,142090,125795,168429,162511,191632,130295,135480,160898,135317,102562,10239,187555,160003,130962,139806,190881,222174,236317,150706,208500,204872,176071,151108,177919,170915,208515,168185,4539009
