data,ruta_id,ruta,tarif,tur_vechi,tur_nou,retur_vechi,retur_nou,total_vechi,total_nou,diff
2026-04-01,1,Grimăncăuți - Chișinău (03:00 - 7:10),Criva Direct,3346,3404,2880,2920,6226,6324,98
2026-04-01,2,Briceni - Chișinău (05:45 - 8:20),Criva via Larga,924,932,2634,2647,3558,3579,21
2026-04-01,3,Chișinău (08:00 - 12:40),Otaci/Ocnița,1041,1072,0,0,1041,1072,31
2026-04-01,5,Șirăuți - Chișinău (10:10 - 15:10),Lipcani via Rîșcani,2373,2370,1608,1610,3981,3980,-1
2026-04-01,6,Corjeuți - Chișinău (6:17 - 10:20),Corjeuti/Edinet,3372,3367,1077,1074,4449,4441,-8
2026-04-01,7,Criva - Chișinău (11:00 - 15:35),Criva Direct,2253,2296,3037,3096,5290,5392,102
2026-04-01,8,Criva - Chișinău (12:30 - 17:40),Criva Direct,1282,1342,2387,2397,3669,3739,70
2026-04-01,9,Criva - Chișinău (12:00 - 16:45),Criva Direct,1797,1835,1285,1341,3082,3176,94
2026-04-01,10,Lipcani - Chișinău (14:10 - 19:05),Criva Direct,1796,1818,2014,2125,3810,3943,133
2026-04-01,11,Criva - Chișinău (13:20 - 17:40),Criva Direct,962,986,2514,2581,3476,3567,91
2026-04-01,14,Criva - Chișinău (15:30 - 20:20),Criva Direct,2215,2283,2948,2990,5163,5273,110
2026-04-01,15,Criva - Chișinău (17:30 - 22:25),Criva Direct,1135,1166,2419,2542,3554,3708,154
2026-04-01,16,Lipcani - Chișinău (02:35 - 7:00),Criva Direct,1915,1979,1966,2071,3881,4050,169
2026-04-01,17,Criva (Tețcani) - Chișinău (02:40 - 8:20),Criva via Corjeuți,3096,3209,953,980,4049,4189,140
2026-04-01,18,Lipcani (Viișoara) - Chișinău (04:05 - 8:10),Lipcani via Viișoara,2826,2840,3442,3441,6268,6281,13
2026-04-01,19,Lipcani - Chișinău (06:10 - 10:40),Criva via Larga,2919,3067,3229,3265,6148,6332,184
2026-04-01,20,Criva (Larga) - Chișinău (06:00 - 11:35),Criva via Larga,2878,2976,3464,3559,6342,6535,193
2026-04-01,21,Chișinău (12:35 - 17:40),Otaci/Ocnița,1695,1717,1358,1356,3053,3073,20
2026-04-01,22,Lipcani - Chișinău (06:35 - 10:50),Criva Direct,2070,2232,3695,3796,5765,6028,263
2026-04-01,23,Criva - Chișinău (07:05 - 12:20),Criva Direct,3831,4122,2942,3008,6773,7130,357
2026-04-01,24,Criva (Larga) - Chișinău (07:25 - 12:45),Criva via Larga,1844,1962,3068,3089,4912,5051,139
2026-04-01,25,Caracusenii Vechi - Chișinău (07:00 - 10:45),Corjeuti/Edinet,2042,2091,2935,2959,4977,5050,73
2026-04-01,26,Corjeuți (Briceni) - Chișinău (08:00 - 17:15),Criva via Corjeuți,1107,1210,1807,1811,2914,3021,107
2026-04-01,27,Lipcani - Chișinău (09:15 - 13:45),Criva Direct,3360,3466,1974,2017,5334,5483,149
2026-04-01,28,Criva - Chișinău (09:35 - 15:10),Criva Direct,2431,2529,3352,3465,5783,5994,211
2026-04-01,29,Ocnița - Chișinău (09:50 - 13:50),Otaci/Ocnița,2102,2112,1939,2034,4041,4146,105
2026-04-02,1,Grimăncăuți - Chișinău (03:00 - 7:10),Criva Direct,3461,3517,4461,4565,7922,8082,160
2026-04-02,2,Briceni - Chișinău (05:45 - 8:20),Criva via Larga,782,787,1695,1711,2477,2498,21
2026-04-02,3,Chișinău (08:00 - 12:40),Otaci/Ocnița,1286,1301,2388,2413,3674,3714,40
2026-04-02,5,Șirăuți - Chișinău (10:10 - 15:10),Lipcani via Rîșcani,2613,2616,1694,1694,4307,4310,3
2026-04-02,6,Corjeuți - Chișinău (6:17 - 10:20),Corjeuti/Edinet,2602,2595,2594,2592,5196,5187,-9
2026-04-02,7,Criva - Chișinău (11:00 - 15:35),Criva Direct,2779,2817,2481,2537,5260,5354,94
2026-04-02,8,Criva - Chișinău (12:30 - 17:40),Criva Direct,1243,1287,2227,2240,3470,3527,57
2026-04-02,9,Criva - Chișinău (12:00 - 16:45),Criva Direct,1668,1720,937,1085,2605,2805,200
2026-04-02,10,Lipcani - Chișinău (14:10 - 19:05),Criva Direct,2700,2776,1175,1245,3875,4021,146
2026-04-02,11,Criva - Chișinău (13:20 - 17:40),Criva Direct,1370,1424,2140,2195,3510,3619,109
2026-04-02,12,Lipcani - Chișinău (14:50 - 18:55),Criva Direct,451,460,1248,1343,1699,1803,104
2026-04-02,14,Criva - Chișinău (15:30 - 20:20),Criva Direct,1998,2110,3355,3390,5353,5500,147
2026-04-02,15,Criva - Chișinău (17:30 - 22:25),Criva Direct,1278,1334,3494,3672,4772,5006,234
2026-04-02,16,Lipcani - Chișinău (02:35 - 7:00),Criva Direct,1715,1798,1348,1419,3063,3217,154
2026-04-02,17,Criva (Tețcani) - Chișinău (02:40 - 8:20),Criva via Corjeuți,2599,2668,2347,2468,4946,5136,190
2026-04-02,18,Lipcani (Viișoara) - Chișinău (04:05 - 8:10),Lipcani via Viișoara,3249,3252,3452,3464,6701,6716,15
2026-04-02,19,Lipcani - Chișinău (06:10 - 10:40),Criva via Larga,3376,3610,2557,2564,5933,6174,241
2026-04-02,20,Criva (Larga) - Chișinău (06:00 - 11:35),Criva via Larga,2973,3126,3633,3694,6606,6820,214
2026-04-02,21,Chișinău (12:35 - 17:40),Otaci/Ocnița,2861,2899,930,932,3791,3831,40
2026-04-02,22,Lipcani - Chișinău (06:35 - 10:50),Criva Direct,2924,3122,3920,4021,6844,7143,299
2026-04-02,23,Criva - Chișinău (07:05 - 12:20),Criva Direct,3031,3339,2294,2426,5325,5765,440
